繁體	兼容格式	頁碼
東頭也是客，西頭也是客。	ton deu ya zy khaq, shi deu ya zy khaq.	372
客人是梗龍，喫眼弗會窮。	khaq gnin zy kan lon, chioq ngae vaq wei jion.	372
客人是梗龍，喫眼弗會窮。	khaq gnin zy kuan lon, chioq ngae vaq wei jion.	372
客人是梗龍，喫眼勿會窮。	khaq gnin zy kan lon, chioq ngae vaq wei jion.	372
客人是梗龍，喫眼勿會窮。	khaq gnin zy kuan lon, chioq ngae vaq wei jion.	372
人客都是主人做。	gnin khaq tu zy tsyu gnin tsou.	372
一日兩日是人客，三日四日是便客。	iq gniq lian gniq zy gnin khaq, sae gniq sy gniq zy bi khaq.	372
高拱手，低作揖。	kau kon shieu, ti tsoq iq.	372
來客弗立起，主人嘸道理。	le khaq vaq liq chi, tsyu gnin mh dau li.	372
來客勿立起，主人嘸道理。	le khaq vaq liq chi, tsyu gnin mh dau li.	372
主隨客便，客隨主便。	tsyu zei khaq bi, khaq zei tsyu bi.	372
一客弗煩兩主。	iq khaq vaq vae lian tsyu.	372
一客勿煩兩主。	iq khaq vaq vae lian tsyu.	372
前客讓後客。	zhi khaq gnian gheu khaq.	372
喫對過，謝隔壁。	chioq tei kou, zhia kaq piq.	372
下飯嘸告，飯喫飽。	gho vae mh kau, vae chioq pau.	372
禮讓一寸，得理一尺。	li gnian iq tshen, taq li iq tshaq.	372
儂敬人三分，人敬儂七分。	nou cin gnin sae fen, gnin cin nou chiq fen.	372
敬重田公敬重穀，敬重木匠敬重屋。	cin dzon di kon cin dzon koq, cin dzon moq zhian cin dzon oq.	372
人擡人無價之寶。	gnin de gnin vu ko tsy pau.	372
人擡人無價之寶。	gnin de gnin wu- ko tsy pau.	372
儂擡人一尺，人擡儂一丈。	nou de gnin iq tshaq, gnin de nou iq jian.	372
人熟禮弗熟，禮多人弗怪。	gnin zoq li vaq zoq, li tou gnin vaq kua.	372
人熟禮勿熟，禮多人勿怪。	gnin zoq li vaq zoq, li tou gnin vaq kua.	372
老老來走走，好甮挈包頭。	lau lau le tseu tseu, hau ven chiq pau deu.	372
人家介客氣，弄勒我阿難死。	gnin ko ka khaq chi, lon laq ngo aq nae shi.	372
請進一炷香，請出殺豬羊。	chin cin iq tsyu shian, chin tshyuq saq tsyu yan.	373
請進一炷香，請出殺豬羊。	chin cin iq dzyu shian, chin tshyuq saq tsyu yan.	373
千錯萬錯，來人弗錯。	chi tshou vae tshou, le gnin vaq tshou.	373
千錯萬錯，來人勿錯。	chi tshou vae tshou, le gnin vaq tshou.	373
多少弗論，人人有份。	tou shiau vaq len, gnin gnin yeu ven.	373
多少勿論，人人有份。	tou shiau vaq len, gnin gnin yeu ven.	373
人情可削弗可卻。	zyun jin khou shiaq vaq khou chiaq.	373
人情可削勿可卻。	zyun jin khou shiaq vaq khou chiaq.	373
來是人情去是債。	le zy zyun jin chi zy tsa.	373
人情像把鋸，儂來我去。	zyun jin zhian po ki-ke, nou le ngo chi.	373
人情急如債，鑊爿挈出賣。	zyun jin ciq zyu tsa, ghoq bae chiq tshyuq ma.	373
賴債弗如賴人情。	la tsa vaq zyu la zyun jin.	373
賴債勿如賴人情。	la tsa vaq zyu la zyun jin.	373
人情做到底，送佛到西天。	zyun jin tsou tau ti, son vaq tau shi thi.	373
人心換人心，八兩換半斤。	gnin shin wun gnin shin, paq lian wun pun cin.	373
大人弗計小人過。	dou gnin vaq ci shiau gnin kou.	373
大人勿計小人過。	dou gnin vaq ci shiau gnin kou.	373
當儂歇過還有多。	taon nou shiq kou wa yeu tou.	373
當儂歇過還有多。	taon nou shiq kou gha yeu tou.	373
喫虧了叫，相因了笑。	chioq khuei laq ciau, shian in laq shiau.	373
僧來看佛面。	sen le khi-khe vaq mi.	373
打狗看主人。	tan keu khi-khe tsyu gnin.	373
三色弗看，兩色半也要看。	sae saq vaq khi-khe, lian saq pun gha iau khi-khe.	373
三色弗看，兩色半也要看。	sae saq vaq khi-khe, lian saq pun ya iau khi-khe.	373
三色勿看，兩色半也要看。	sae saq vaq khi-khe, lian saq pun gha iau khi-khe.	373
三色勿看，兩色半也要看。	sae saq vaq khi-khe, lian saq pun ya iau khi-khe.	373
一隻手拉兩人。	iq tsaq shieu lha lian gnin.	373
兩硬軋煞中央人。	lian ngan gaq saq tson ian gnin.	373
兩硬軋煞中央人。	lian ngan gaq saq tson gnian gnin.	373
冤家犯死徑，軋煞中央人。	iu ko vae shi cin, gaq saq tson ian gnin.	373
冤家犯死徑，軋煞中央人。	iu ko vae shi cin, gaq saq tson gnian gnin.	373
熱面孔貼冷屁股。	gniq mi khon thiaq lan phi ku.	373
借傘好甮謝，單巧㫰過夜。	cia sae hau ven zhia, tae chiau laon kou ya.	373
欠債服人管。	chi tsa voq gnin kun.	373
欠債弗過年。	chi tsa vaq kou gni.	373
欠債勿過年。	chi tsa vaq kou gni.	373
六月債，還勒快。	loq yuq tsa, wa laq khua.	373
六月債，還勒快。	loq yuq tsa, gha laq khua.	373
千年弗賴，萬年弗還。	chi gni vaq la, vae gni vaq wae.	373
千年勿賴，萬年勿還。	chi gni vaq la, vae gni vaq wae.	373
坐勒借債，跪勒討債。	zou laq cia tsa, jiu laq thau tsa.	373
屋山尖頭開天門。	oq sae ci deu khe thi men.	373
在家弗會迎四方，出門方知親人少。	dze cia vaq wei gnin sy faon, tshyuq men faon tsyu chin gnin shiau.	373
在家勿會迎四方，出門方知親人少。	dze cia vaq wei gnin sy faon, tshyuq men faon tsyu chin gnin shiau.	373
蝦有蝦路，蟹有蟹路。	huo yeu huo lu, ha yeu ha lu.	374
提意見弗如遞香菸。	di i ci vaq zyu di shian i.	374
提意見勿如遞香菸。	di i ci vaq zyu di shian i.	374
香菸一支，和平共處。	shian i iq tsyu, ghou bin gon tshyu.	374
馬馬虎虎，喫眼香菸屁股。	ma ma fu fu, chioq ngae shian i phi ku.	374
簡單扼要，零頭擄掉。	ci tae aq iau, lin deu lou diau.	374
明人弗做暗事，真人弗說假話。	min gnin vaq tsou ei-e zy, cin gnin vaq syuq ko wo.	374
明人勿做暗事，真人勿說假話。	min gnin vaq tsou ei-e zy, cin gnin vaq syuq ko wo.	374
茄子弗開虛花，好漢弗講假話。	jia tsy vaq khe shiu huo, hau he vaq kaon ko wo.	374
茄子弗開虛花，好漢弗講假話。	jia tsy vaq khe shiu huo, hau hei- vaq kaon ko wo.	374
茄子勿開虛花，好漢勿講假話。	jia tsy vaq khe shiu huo, hau he vaq kaon ko wo.	374
茄子勿開虛花，好漢勿講假話。	jia tsy vaq khe shiu huo, hau hei- vaq kaon ko wo.	374
小人口裏討實話。	shiau gnin kheu li thau zyuq wo.	374
打蛇要打七寸，講話要有分寸。	tan dzo iau tan chiq tshen, kaon wo iau yeu fen tshen.	374
過頭飯好喫，過頭話難講。	kou deu vae hau chioq, kou deu wo nae kaon.	374
推開紙窗講亮話。	thei khe tsy tshaon kaon lian wo.	374
舌頭嘸骨，隨人嚼法。	zhiq deu mh kuaq, zei gnin zhiaq faq.	374
拆亂話好甮忖，舌頭打個滾。	tshaq loe wo hau ven tshen, zhiq deu tan goq kuen.	374
拆亂話好甮忖，舌頭打個滾。	tshaq loe wo hau ven tshen, zhiq deu tan ghoq kuen.	374
嘸角鋤頭亂劖。	mh koq zy deu loe zae.	374
嘸角鋤頭亂劖。	mh koq zyu deu loe zae.	374
應嘴辣辣響。	in tsyu laq laq shian.	374
一句話把人講笑，一句話把人講跳。	iq ciu wo po gnin kaon shiau, iq ciu wo po gnin kaon thiau.	374
刀可以割肉，話可以斷骨。	tau khou yi kaq gnioq, wo khou yi doe kuaq.	374
三寸舌頭擡煞人，三寸舌頭壓煞人。	sae tshen zhiq deu de saq gnin, sae tshen zhiq deu aq saq gnin.	374
良言一句三冬暖，惡言傷人六月霜。	lian yi iq ciu sae ton noe, oq yi saon gnin loq yuq saon.	374
冷粥冷飯好喫，冷言冷語難聽。	lan tsoq lan vae hau chioq, lan yi lan gniu nae thin.	374
相罵嘸好言，相打嘸好拳。	shian mo mh hau yi, shian tan mh hau jiu.	374
講話聲放低，走路腳擡高。	kaon wo shin faon ti, tseu lu ciaq de kau.	374
矮人面前弗說矮。	a gnin mi zhi vaq syuq a.	374
矮人面前勿說矮。	a gnin mi zhi vaq syuq a.	374
嘴巴講勒出蓮花。	tsyu po kaon laq tshyuq li huo.	374
死人講勒棺材裏爬起來。	shi gnin kaon laq kun dze li bo chi le.	374
涴人講涴話。	ou gnin kaon ou wo.	374
屙人講屙話。	ou gnin kaon ou wo.	374
涴裏揀出來個屁話。	ou li kae tshyuq le goq phi wo.	375
涴裏揀出來個屁話。	ou li kae tshyuq le ghoq phi wo.	375
屙裏揀出來個屁話。	ou li kae tshyuq le goq phi wo.	375
屙裏揀出來個屁話。	ou li kae tshyuq le ghoq phi wo.	375
死人講撥棺材聽。	shi gnin kaon paq kun dze thin.	375
講撥後施枕聽也覅聽。	kaon paq gheu sy cin thin gha fe thin.	375
講撥後施枕聽也覅聽。	kaon paq gheu sy cin thin ya fe thin.	375
話越講越多，布越扯越碎。	wo yuq kaon yuq tou, pu yuq tsho yuq sei.	375
涴缸越㧕越臭，說話越講越多。	ou kaon yuq lieu yuq chieu, syuq wo yuq kaon yuq tou.	375
屙缸越㧕越臭，說話越講越多。	ou kaon yuq lieu yuq chieu, syuq wo yuq kaon yuq tou.	375
果子弗可擇，言話弗可扎。	kou tsy vaq khou dzaq, ghae wo vaq khou tsaq.	375
果子弗可擇，閒話弗可扎。	kou tsy vaq khou dzaq, ghae wo vaq khou tsaq.	375
果子勿可擇，言話勿可扎。	kou tsy vaq khou dzaq, ghae wo vaq khou tsaq.	375
果子勿可擇，閒話勿可扎。	kou tsy vaq khou dzaq, ghae wo vaq khou tsaq.	375
言話聽音，蘿蔔喫心。	ghae wo thin in, lou boq chioq shin.	375
閒話聽音，蘿蔔喫心。	ghae wo thin in, lou boq chioq shin.	375
言話要聽音，鰳魚要喫鱗。	ghae wo iau thin in, lei ng iau chioq lin.	375
閒話要聽音，鰳魚要喫鱗。	ghae wo iau thin in, lei ng iau chioq lin.	375
甜言奪志，甜食壞齒。	di yi daq tsy, di zhiq ua tshy.	375
天弗言自高，地弗言自厚。	thi vaq yi zy kau, di vaq yi zy gheu.	375
天勿言自高，地勿言自厚。	thi vaq yi zy kau, di vaq yi zy gheu.	375
傳來言話莫輕信，過去事體莫再提。	dzoe le ghae wo mhau chin shin, kou chi zy thi mhau tse di.	375
傳來言話莫輕信，過去事體莫再提。	dzoe le ghae wo mau chin shin, kou chi zy thi mau tse di.	375
傳來言話莫輕信，過去事體莫再提。	dzoe le ghae wo mhau chin shin, kou chiu zy thi mhau tse di.	375
傳來言話莫輕信，過去事體莫再提。	dzoe le ghae wo mau chin shin, kou chiu zy thi mau tse di.	375
傳來閒話莫輕信，過去事體莫再提。	dzoe le ghae wo mhau chin shin, kou chi zy thi mhau tse di.	375
傳來閒話莫輕信，過去事體莫再提。	dzoe le ghae wo mau chin shin, kou chi zy thi mau tse di.	375
傳來閒話莫輕信，過去事體莫再提。	dzoe le ghae wo mhau chin shin, kou chiu zy thi mhau tse di.	375
傳來閒話莫輕信，過去事體莫再提。	dzoe le ghae wo mau chin shin, kou chiu zy thi mau tse di.	375
香花弗一定好看，會講弗一定能幹。	shian huo vaq iq din hau khi-khe, wei kaon vaq iq din nen ki-ke.	375
香花勿一定好看，會講勿一定能幹。	shian huo vaq iq din hau khi-khe, wei kaon vaq iq din nen ki-ke.	375
黃狗游河，出張嘴巴。	waon keu yeu ghou, tshyuq jian tsyu po.	375
黃狗游河，出張嘴巴。	waon ki-ke yeu ghou, tshyuq jian tsyu po.	375
黃狗游河，出張嘴巴。	wu keu yeu ghou, tshyuq jian tsyu po.	375
黃狗游河，出張嘴巴。	wu ki-ke yeu ghou, tshyuq jian tsyu po.	375
黃狗游河，出張嘴巴。	waon keu yeu ghou, tshyuq cian tsyu po.	375
黃狗游河，出張嘴巴。	waon ki-ke yeu ghou, tshyuq cian tsyu po.	375
黃狗游河，出張嘴巴。	wu keu yeu ghou, tshyuq cian tsyu po.	375
黃狗游河，出張嘴巴。	wu ki-ke yeu ghou, tshyuq cian tsyu po.	375
講講純勁道，做做瘟跌倒。	kaon kaon zyun jin dau, tsou tsou uen tiq tau.	375
講講神仙阿伯，做做死蟹一隻。	kaon kaon zyun shi aq paq, tsou tsou shi ha iq tsaq.	375
會賺銅鈿多揹債，會講言話多招怪。	wei dzae don di tou pei tsa, wei kaon ghae wo tou ciau kua.	375
會賺銅鈿多揹債，會講閒話多招怪。	wei dzae don di tou pei tsa, wei kaon ghae wo tou ciau kua.	375
少講爲妙，多講傷料。	shiau kaon wei miau, tou kaon saon liau.	375
人像螄螺，言話甚多。	gnin zhian sy lou, ghae wo zhin tou.	375
人像螄螺，閒話甚多。	gnin zhian sy lou, ghae wo zhin tou.	375
有話嘸話，譬如弗話。	yeu wo mh wo, phi zyu vaq wo.	375
有話嘸話，譬如勿話。	yeu wo mh wo, phi zyu vaq wo.	375
寧可聽蘇州人吵相罵，弗可聽寧波人講言話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin pou gnin kaon ghae wo.	375
寧可聽蘇州人吵相罵，弗可聽寧波人講閒話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin pou gnin kaon ghae wo.	375
寧可聽蘇州人吵相罵，勿可聽寧波人講言話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin pou gnin kaon ghae wo.	375
寧可聽蘇州人吵相罵，勿可聽寧波人講閒話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin pou gnin kaon ghae wo.	375
寧可聽蘇州人吵相罵，弗可聽寧波人講言話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin poq gnin kaon ghae wo.	375
寧可聽蘇州人吵相罵，弗可聽寧波人講閒話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin poq gnin kaon ghae wo.	375
寧可聽蘇州人吵相罵，勿可聽寧波人講言話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin poq gnin kaon ghae wo.	375
寧可聽蘇州人吵相罵，勿可聽寧波人講閒話。	nen khou thin su cieu gnin tshau shian mo, vaq khou thin gnin poq gnin kaon ghae wo.	375
樹老根多，人老話多。	zyu lau ken tou, gnin lau wo tou.	375
老人弗掏古，後生會失譜。	lau gnin vaq dau ku, gheu san wei syuq pu.	375
老人勿掏古，後生會失譜。	lau gnin vaq dau ku, gheu san wei syuq pu.	375
三百六十行，種田第一行。	sae paq loq zyuq ghaon, tson di di iq ghaon.	376
人弗欺地皮，地弗欺肚皮。	gnin vaq chi di bi, di vaq chi du bi.	376
人勿欺地皮，地勿欺肚皮。	gnin vaq chi di bi, di vaq chi du bi.	376
人誤田一時，田誤人一年。	gnin nu di iq zy, di nu gnin iq gni.	376
人誤田一時，田誤人一年。	gnin wu di iq zy, di wu gnin iq gni.	376
田荒窮一年，山荒窮一世。	di huaon jion iq gni, sae huaon jion iq shi.	376
人靠田長，田靠人養。	gnin khau di cian, di khau gnin ian.	376
種田人靠三生：後生、家生、衆生。	tson di gnin khau sae san: gheu san, ko san, tson san.	376
三生齊，好種田。	sae san zhi, hau tson di.	376
有收嘸收在於種，多收少收在於管。	yeu shieu mh shieu dze yu tson, tou shieu shiau shieu dze yu kun.	376
種落三分收，七分靠管理。	tson loq sae fen shieu, chiq fen khau kun li.	376
種好管好，豐收牢靠；只種弗管，打破金碗。	tson hau kun hau, fon shieu lau khau; ciq tson vaq kun, tan phou cin un.	376
種好管好，豐收牢靠；只種勿管，打破金碗。	tson hau kun hau, fon shieu lau khau; ciq tson vaq kun, tan phou cin un.	376
儲水如儲穀。	zyu syu zyu zyu koq.	376
有收嘸收靠水。	yeu shieu mh shieu khau syu.	376
燈嘸油弗亮，稻嘸水弗長。	ten mh yeu vaq lian, dau mh syu vaq jian.	376
燈嘸油勿亮，稻嘸水勿長。	ten mh yeu vaq lian, dau mh syu vaq jian.	376
早稻喫混水，晚稻喫露水。	tsau dau chioq wen syu, mae dau chioq lu syu.	376
只靠雙手弗靠天，修好水利長期甜。	ciq khau saon shieu vaq khau thi, shieu hau syu li jian ji di.	376
只靠雙手勿靠天，修好水利長期甜。	ciq khau saon shieu vaq khau thi, shieu hau syu li jian ji di.	376
肥是勁，水是命。	bi zy jin, syu zy min.	376
多收少收靠肥。	tou shieu shiau shieu khau bi.	376
人黃有病，稻黃缺肥。	gnin waon yeu bin, dau waon chiuq vi.	376
人嘸力桂圓棗子，田嘸力河泥草子。	gnin mh liq kuei yu tsau tsy, di mh liq ghou gni tshau tsy.	376
河泥草子壅早稻，弗可話向親家道。	ghou gni tshau tsy ion tsau dau, vaq khou wo shian chin ko dau.	376
河泥草子壅早稻，勿可話向親家道。	ghou gni tshau tsy ion tsau dau, vaq khou wo shian chin ko dau.	376
弗養豬雞鴨，肥源嘸處挖。	vaq ian tsyu ci aq, bi gniu mh tshyu uaq.	376
勿養豬雞鴨，肥源嘸處挖。	vaq ian tsyu ci aq, bi gniu mh tshyu uaq.	376
田裏嘸沒本，爛泥磨粉也嘸份。	di li mhiq pen, nae gni mou fen gha mh ven.	377
田裏嘸沒本，爛泥磨粉也嘸份。	di li mhiq pen, na gni mou fen gha mh ven.	377
田裏嘸沒本，爛泥磨粉也嘸份。	di li mhiq pen, nae gni mou fen ya mh ven.	377
田裏嘸沒本，爛泥磨粉也嘸份。	di li mhiq pen, na gni mou fen ya mh ven.	377
處暑壅本正當鮮，白露施肥枉心機。	tshyu syu ion pen cin taon shi, baq lu sy vi uaon shin ci.	377
搞一冬，肥一春，五花六月弗擔心。	gau iq ton, vi iq tshyun, ng huo loq yuq vaq tae shin.	377
搞一冬，肥一春，五花六月勿擔心。	gau iq ton, vi iq tshyun, ng huo loq yuq vaq tae shin.	377
肥是農家寶，全靠施勒巧。	bi zy non cia pau, dzoe khau sy laq chiau.	377
肥料潑滿地，弗如田裏鉤條線。	vi liau phaq mun di, vaq zyu di li keu diau shi.	377
肥料潑滿地，勿如田裏鉤條線。	vi liau phaq mun di, vaq zyu di li keu diau shi.	377
年裏施根線，抵過年外施三遍。	gni li sy ken shi, ti kou gni nga sy sae pi.	377
吹過小滿風，批花好留種。	tshyu kou shiau mun fon, phi huo hau lieu tson.	377
若要批花紅，八月十六頭夜種。	zhiaq iau phi huo ghon, paq yuq zyuq loq deu ya tson.	377
若要批花紅，八月十六頭夜種。	zoq iau phi huo ghon, paq yuq zyuq loq deu ya tson.	377
霜降種草子，幼苗容易死。	saon kaon tson tshau tsy, ieu miau yon yi shi.	377
年裏春花月裏稻。	gni li tshyun huo yuq li dau.	377
草子過冬壅遍灰，賽過冬天蓋牀被。	tshau tsy kou ton ion pi huei, se kou ton thi ke zaon bi.	377
若要草子好，經常三分燥。	zhiaq iau tshau tsy hau, cin dzaon sae fen sau.	377
若要草子好，經常三分燥。	zoq iau tshau tsy hau, cin dzaon sae fen sau.	377
草子田裏開好溝，落雪落雨好甮愁。	tshau tsy di li khe hau keu, loq syuq loq yu hau ven zeu.	377
草子種三年，壞田變好田。	tshau tsy tson sae gni, ua di pi hau di.	377
土地弗平整，有水等於零。	thu di vaq bin cin, yeu syu ten yu lin.	377
土地勿平整，有水等於零。	thu di vaq bin cin, yeu syu ten yu lin.	377
若要蟲害少，除盡根邊草。	zhiaq iau dzon ghe shiau, dzyu jin ken pi tshau.	377
若要蟲害少，除盡根邊草。	zoq iau dzon ghe shiau, dzyu jin ken pi tshau.	377
好樹出好桃，好種出好稻。	hau zyu tshyuq hau dau, hau tson tshyuq hau dau.	377
種田弗留種，餓煞嘸人擁。	tson di vaq lieu tson, ngou saq mh gnin ion.	377
種田勿留種，餓煞嘸人擁。	tson di vaq lieu tson, ngou saq mh gnin ion.	377
種子擇一擇，產量差一百。	tson tsy dzaq iq dzaq, tshae lian tsho iq paq.	377
種子調一調，好比上遍料。	tson tsy diau iq diau, hau pi zaon pi liau.	377
寧可失收，弗可失種。	nen khou syuq shieu, vaq khou syuq tson.	377
寧可失收，勿可失種。	nen khou syuq shieu, vaq khou syuq tson.	377
秧子落缸，夫妻分牀。	ian tsy loq kaon, fu chi fen zaon.	377
芽壯七分秧。	ngo tsaon chiq fen ian.	377
秧好一半稻，苗好三分收。	ian hau iq pun dau, miau hau sae fen shieu.	377
養兒靠孃，種田靠秧。	ian er khau gnian, tson di khau ian.	377
巴結巴結，把牢季節。	po ciq po ciq, po lau ci ciq.	377
清明起半畈。	chin min chi pun pae.	377
二月清明早下秧，三月清明莫慌張。	gni yuq chin min tsau gho ian, sae yuq chin min mhau huaon cian.	377
二月清明早下秧，三月清明莫慌張。	gni yuq chin min tsau gho ian, sae yuq chin min mau huaon cian.	377
穀雨前動犁，弗早也弗遲。	koq yu zhi don li, vaq tsau gha vaq ji.	377
穀雨前動犁，弗早也弗遲。	koq yu zhi don li, vaq tsau gha vaq dzy.	377
穀雨前動犁，弗早也弗遲。	koq yu zhi don li, vaq tsau ya vaq ji.	377
穀雨前動犁，弗早也弗遲。	koq yu zhi don li, vaq tsau ya vaq dzy.	377
穀雨前動犁，勿早也勿遲。	koq yu zhi don li, vaq tsau gha vaq ji.	378
穀雨前動犁，勿早也勿遲。	koq yu zhi don li, vaq tsau gha vaq dzy.	378
穀雨前動犁，勿早也勿遲。	koq yu zhi don li, vaq tsau ya vaq ji.	378
穀雨前動犁，勿早也勿遲。	koq yu zhi don li, vaq tsau ya vaq dzy.	378
喫過穀雨飯，發風落雨要出畈。	chioq kou koq yu vae, faq fon loq yu iau tshyuq pae.	378
穀雨起半畈，立夏耕半灘。	koq yu chi pun pae, liq gho kan pun thae.	378
早稻插秧弗過立夏關。	tsau dau tshaq ian vaq kou liq gho kuae.	378
早稻插秧勿過立夏關。	tsau dau tshaq ian vaq kou liq gho kuae.	378
種田弗過立夏關，過了立夏要減產。	tson di vaq kou liq gho kuae, kou laq liq gho iau kae tshae.	378
種田勿過立夏關，過了立夏要減產。	tson di vaq kou liq gho kuae, kou laq liq gho iau kae tshae.	378
立夏浸種，小滿插秧。	liq gho cin tson, shiau mun tshaq ian.	378
芒種芒種，忙忙種種；過了芒種，等於白種。	maon tson maon tson, maon maon tson tson; kou laq maon tson, ten yu baq tson.	378
夏至來，把秧栽。	gho tsy le, po ian tse.	378
西風種田，有穀嘸米。	shi fon tson di, yeu koq mh mi.	378
西風種田，弗如烤火喫菸。	shi fon tson di, vaq zyu khau hou chioq i.	378
西風種田，勿如烤火喫菸。	shi fon tson di, vaq zyu khau hou chioq i.	378
糯稻糯兩梗，晚稻大棵生。	nou dau nou lian kan, mae dau dou khou san.	378
糯稻糯兩梗，晚稻大棵生。	nou dau nou lian kuan, mae dau dou khou san.	378
寧可討大腳嫂，弗可種大腳稻。	nen khou thau dou ciaq sau, vaq khou tson dou ciaq dau.	378
寧可討大腳嫂，勿可種大腳稻。	nen khou thau dou ciaq sau, vaq khou tson dou ciaq dau.	378
種田早弗如插秧牢。	tson di tsau vaq zyu tshaq ian lau.	378
種田早勿如插秧牢。	tson di tsau vaq zyu tshaq ian lau.	378
早稻水上飄，晚稻插齊腰。	tsau dau syu zaon phiau, mae dau tshaq zhi iau.	378
早稻浮面插，晚稻篤勒塥。	tsau dau veu mi tshaq, mae dau toq laq kaq.	378
種田好甮學，株株差一拓。	tson di hau ven ghoq, tsyu tsyu tsho iq thoq.	378
木匠師傅裝翠眼，種田人對屁眼。	moq zhian sy fu tsaon tshei ngae, tson di gnin tei phi ngae.	378
秧種七根八根，田要種其骨敦。	ian tson chiq ken paq ken, di iau tson ji kuaq ten.	378
若要稻種直，腰骨弗要直。	zhiaq iau dau tson jiq, iau kuaq vaq iau jiq.	378
若要稻種直，腰骨弗要直。	zoq iau dau tson jiq, iau kuaq vaq iau jiq.	378
若要稻種直，腰骨勿要直。	zhiaq iau dau tson jiq, iau kuaq vaq iau jiq.	378
若要稻種直，腰骨勿要直。	zoq iau dau tson jiq, iau kuaq vaq iau jiq.	378
稻大自會直。	dau dou zy wei jiq.	378
𨀤𨀤倒，種大稻。	lei lei tau, tson dou dau.	378
彎田種大稻。	uae di tson dou dau.	378
田種七彎八彎，穀割七擔八擔。	di tson chiq uae paq uae, koq kaq chiq tae paq tae.	378
小彎一袋，大彎一儎。	shiau uae iq de, dou uae iq tse.	378
若要稻種大，多把稻根擄。	zhiaq iau dau tson dou, tou po dau ken lou.	378
若要稻種大，多把稻根擄。	zoq iau dau tson dou, tou po dau ken lou.	378
謂糯稻宜疏，晚稻宜密。	wei nou dau gni su, mae dau gni miq.	378
頭遍擋稻，二遍耘草，三遍拔稗拔長稻。	deu pi taon dau, gni pi yun tshau, sae pi baq bo baq jian dau.	379
擄擄到，種大稻。	lou lou tau, tson dou dau.	379
大水耘田一摸光，前頭耘過後頭荒。	dou syu yun di iq moq kuaon, zhi deu yun kou gheu deu huaon.	379
稗草弗拔，水稻弗發。	bo tshau vaq baq, syu dau vaq faq.	379
稗草勿拔，水稻勿發。	bo tshau vaq baq, syu dau vaq faq.	379
一株稗草一餐粥，百株稗草一擔穀。	iq tsyu bo tshau iq tshae tsoq, paq tsyu bo tshau iq tae koq.	379
夏至耘頭遍，嘸穀怨自己。	gho tsy yun deu pi, mh koq iu zhi ci.	379
夏至弗耕畈，年成對半減。	gho tsy vaq kan pae, gni jin tei pun kae.	379
夏至勿耕畈，年成對半減。	gho tsy vaq kan pae, gni jin tei pun kae.	379
六月秋，搶搶收；七月秋，慢慢收。	loq yuq chieu, chian chian shieu; chiq yuq chieu, mae mae shieu.	379
晚稻插秧弗過立秋關。	mae dau tshaq ian vaq kou liq chieu kuae.	379
晚稻插秧勿過立秋關。	mae dau tshaq ian vaq kou liq chieu kuae.	379
立秋三天遍地紅。	liq chieu sae thi pi di ghon.	379
立秋割半稻，立冬割半稻。	liq chieu kaq pun dau, liq ton kaq pun dau.	379
七月七弗拆車，八月八弗居家。	chiq yuq chiq vaq tshaq tsho, paq yuq paq vaq ciu ko.	379
七月七勿拆車，八月八勿居家。	chiq yuq chiq vaq tshaq tsho, paq yuq paq vaq ciu ko.	379
處暑弗露底，有穀嘸沒米。	tshyu syu vaq lu ti, yeu koq mh mhaq mi.	379
處暑勿露底，有穀嘸沒米。	tshyu syu vaq lu ti, yeu koq mh mhaq mi.	379
處暑根頭摸，一把泥來一把穀。	tshyu syu ken deu moq, iq po gni le iq po koq.	379
白露白咪咪，秋分稻頭齊。	baq lu baq mhi mhi, chieu fen dau deu zhi.	379
秋分弗抽頭，割割餵老牛。	chieu fen vaq chieu deu, kaq kaq iu lau ngeu.	379
秋分勿抽頭，割割餵老牛。	chieu fen vaq chieu deu, kaq kaq iu lau ngeu.	379
人老一年，稻黃一夜。	gnin lau iq gni, dau waon iq ya.	379
八成熟，十成收；十成熟，八成收。	paq jin zoq, zyuq jin shieu; zyuq jin zoq, paq jin shieu.	379
寒露到，割秋稻；霜降到，割糯稻。	ghei-ghe lu tau, kaq chieu dau; saon kaon tau, kaq nou dau.	379
有稻嘸稻，霜降放倒。	yeu dau mh dau, saon kaon faon tau.	379
齊割輕放，多打低抖。	zhi kaq chin faon, tou tan ti teu.	379
粒穀種九年，天下佔半邊。	liq koq tson cieu gni, thi gho ci pun pi.	379
秋前弗擱田，秋後叫皇天。	chieu zhi vaq koq di, chieu gheu ciau waon thi.	379
秋前勿擱田，秋後叫皇天。	chieu zhi vaq koq di, chieu gheu ciau waon thi.	379
冬季修田塍，好比修皇城。	ton ci shieu di yin, hau pi shieu waon jin.	379
冬季修田塍，好比修皇城。	ton ci shieu di zhin, hau pi shieu waon jin.	379
寒露早，立冬遲，霜降種麥正適宜。	ghei-ghe lu tsau, liq ton ji, saon kaon tson maq cin shiq gni.	379
