繁體	简体	吴拼	原书转写吴拼	页码
肉圓	肉圆	gnioq yu	gnioq yu	110
肉彩	肉彩	gnioq tshe	gnioq tshe	110
肉痛	肉痛	gnioq thon	gnioq thon	110
肉膛	肉膛	gnioq daon	gnioq daon	110
肉裏眼	肉里眼	gnioq li ngae	gnioq li ngae	110
肉䏜䏜	肉䏜䏜	gnioq jiq jiq	gnioq jiq jiq	110
肉骨䏜䏜	肉骨䏜䏜	gnioq kuaq jiq jiq	gnioq kuaq jiq jiq	110
肉餅子	肉饼子	gnioq pin tsy	gnioq pin tsy	110
肉㾑㾑	肉㾑㾑	gnioq taq taq	gnioq taq taq	110
肉割割	肉割割	gnioq kaq kaq	gnioq kaq kaq	110
肉臈臈	肉臈臈	gnioq kaq kaq	gnioq kaq kaq	110
囡	囡	noe2	noe2	110
囡疏	囡疏	noe su	noe su	111
囡疏	囡疏	no su	no su	111
囡孫	囡孙	no sen	no sen	111
囡孫囡	囡孙囡	no sen noe	no sen noe	111
年口	年口	gni kheu	gni kheu	111
年庚	年庚	gni kan	gni kan	111
年夜飯	年夜饭	gni ya vae	gni ya vae	111
年糕片	年糕片	gni kau phi	gni kau phi	111
年三十夜	年三十夜	gni sae zyuq ya	gni sae zoq ya	111
年三十夜	年三十夜	gni sae syuq ya	gni sae soq ya	111
先生	先生	shi san	shi san	111
竹針	竹针	tsoq cin	tsoq cin	111
竹筱	竹筱	tsoq shiau	tsoq shiau	111
竹筱絲	竹筱丝	tsoq shiau sy	tsoq shiau sy	111
呼嘯絲	呼啸丝	fu shiau sy	fu shiau sy	111
竹管筒瓜	竹管筒瓜	tsoq kun don kuo	tsoq ku don kuo	112
伏	伏	bu6	bu6	112
伏裏	伏里	voq li	voq li	112
傴	伛	eu5	eu5	112
傴	伛	on5	on5	112
傴背	伛背	hon pei	hon pei	112
傴頭磕腦	伛头磕脑	eu deu khaq nau	eu deu khaq nau	112
延	延	yi2	yi2	112
延笆豆	延笆豆	yi po deu	yi po deu	112
傷風氣	伤风气	saon fon chi	saon fon chi	112
傷陰騭	伤阴骘	saon in ciq	saon in ciq	113
價鈿	价钿	ko di	ko di	113
份	份	ven6	ven6	113
份衣	份衣	ven i	ven i	113
華	华	huo5	huo5	113
自家	自家	zhi ko	zhi ko	113
自來火	自来火	zy le hou	zy le hou	113
自造槍	自造枪	zhi zau chian	zhi zau chian	113
自關自過	自关自过	zhi kuae zhi kou	zhi kuae zhi kou	113
自說自話	自说自话	zy syuq zy wo	zy soq zy wo	114
自做㕶頭	自做㕶头	zhi tsou ng deu	zhi tsou ng deu	114
自掏自撐	自掏自撑	zhi dau zhi tshan	zhi dau zhi tshan	114
血心	血心	shiuq shin	shiuq shin	114
血印	血印	shiuq in	shiuq in	114
血血紅	血血红	shiuq shiuq ghon	shiuq shiuq ghon	114
血出無賴	血出无赖	shiuq tshyuq vu la	shiuq tshyuq wu la	114
血出無賴	血出无赖	shiuq tshyuq wu la	shiuq tshyuq wu la	114
向	向	shian5	shian5	114
向道	向道	shian dau	shian dau	114
向白籃	向白篮	shian baq lae	shian baq lae	114
向拋天	向抛天	shian phau thi	shian phau thi	114
後日	后日	gheu gniq	gheu gniq	115
後日子	后日子	gheu gniq tsy	gheu gniq tsy	115
後撲	后扑	gheu phoq	gheu phoq	115
後生	后生	gheu san	gheu san	115
後頭	后头	gheu deu	gheu deu	115
後頭來	后头来	gheu deu le	gheu deu le	115
後起來	后起来	gheu chi le	gheu chi le	115
後煞來	后煞来	gheu saq le	gheu saq le	115
後煞來	后煞来	gheu sei le	gheu sei le	115
後腳煞	后脚煞	gheu ciaq saq	gheu ciq saq	115
後背	后背	gheu pei	gheu pei	115
後生家	后生家	gheu san ko	gheu san ko	115
後夾身	后夹身	gheu kaq shin	gheu kaq shin	115
後夾	后夹	gheu kaq	gheu kaq	115
後坐臀	后坐臀	gheu zou den	gheu zou den	115
後槍袋	后枪袋	gheu chian de	gheu chian de	115
後施枕	后施枕	gheu sy cin	gheu sy cin	115
行	行	ghan2	ghan2	115
行	行	ghaon2	ghaon2	115
行爲	行为	ghan wei	ghan wei	116
行當	行当	ghaon taon	ghaon taon	116
行會	行会	ghan wei	ghan wei	116
行運	行运	ghan yun	ghan yun	116
行俏	行俏	ghaon chiau	ghaon chiau	116
行照	行照	ghan ciau	ghan ciau	116
行鞭筍	行鞭笋	ghan pi syun	ghan pi syun	116
行情行市	行情行市	ghaon jin ghaon zy	ghaon jin ghaon zy	116
全個	全个	dzoe kou	dzoe kou	116
合撲	合扑	gha phoq	gha phoq	116
合着	合着	kaq dzoq	kaq dzoq	117
汆	汆	tshoe1	tshoe1	117
氽	氽	then3	then3	117
衆生	众生	tson san	tson san	117
衆家	众家	tson ko	tson ko	117
肌身熱	肌身热	ci shin gniq	ci shin gniq	117
肋子	肋子	laq tsy	laq tsy	117
肋條	肋条	laq diau	laq diau	117
肋胳肢下	肋胳肢下	laq kaq tsy gho	laq kaq tsy gho	118
朵開	朵开	to khe	to khe	118
朵發	朵发	to faq	to faq	118
朵拄	朵拄	to tsyu	to tsyu	118
雜蟹	杂蟹	zaq ha	zaq ha	118
雜蟹	杂蟹	dzaq ha	dzaq ha	118
雜格楞敦	杂格楞敦	zaq kaq len ten	zaq kaq len ten	118
雜格楞敦	杂格楞敦	dzaq kaq len ten	dzaq kaq len ten	118
各號	各号	koq ghau	koq ghau	118
各樣	各样	koq yan	koq yan	118
各有人	各有人	koq yeu gnin	koq yeu gnin	118
各起管	各起管	koq chi kun	koq chi ku	118
各頭各面	各头各面	koq deu koq mi	koq deu koq mi	118
各到各處	各到各处	koq tau koq tshyu	koq tau koq tshyu	119
各手弗知帳	各手弗知帐	koq shieu vaq tsyu cian	koq shieu faq tsyu cian	119
名頭	名头	min deu	min deu	119
名其	名其	min ji	min ji	119
多少	多少	tou shiau	tou shiau	119
多頭	多头	tou deu	tou deu	119
多孔板	多孔板	tou khon pae	tou khon pae	119
多𥈊眼	多𥈊眼	tou saq ngae	tou saq ngae	119
多老孃鈿	多老娘钿	tou lau gnian di	tou lau gnian di	119
壯	壮	tsaon5	tsaon5	119
壯㾑㾑	壮㾑㾑	tsaon taq taq	tsaon taq taq	120
沖場	冲场	tshon jian	tshon jian	120
沖口出	冲口出	tshon kheu tshyuq	tshon kheu tshyuq	120
妝	妆	tsaon1	tsaon1	120
冰	冰	pin1	pin1	120
冰碗	冰碗	pin un	pin u	120
冰冰陰	冰冰阴	pin pin in	pin pin in	120
冰括斯冷	冰括斯冷	pin kuaq sy lan	pin kuaq sy lan	120
冰冷活氣出	冰冷活气出	pin lan waq chi tshyuq	pin lan waq chi tshyuq	120
𢇗	𢇗	so1	so1	120
𢇗頭	𢇗头	so deu	so deu	120
𢇗頭間	𢇗头间	so deu kae	so deu kae	120
交	交	gau6	gau6	121
交子	交子	kau tsy	kau tsy	121
交代	交代	kau de	kau de	121
交關	交关	ciau kuae	ciau kuae	121
交秋	交秋	kau chieu	kau chieu	121
交交關	交交关	ciau ciau kuae	ciau ciau kuae	121
交代弗過	交代弗过	kau de vaq kou	kau de faq kou	121
次毛	次毛	tshy mau	tshy mau	121
衣衫	衣衫	i sae	i sae	121
衣櫥	衣橱	iu dzyu	iu dzyu	121
衣櫥	衣橱	u dzyu	u dzyu	121
衣櫥凳	衣橱凳	iu dzyu ten	iu dzyu ten	121
衣櫥凳	衣橱凳	u dzyu ten	u dzyu ten	122
充	充	tshon1	tshon1	122
充手	充手	tshon shieu	tshon shieu	122
羊角	羊角	yan koq	yan koq	122
羊臊氣	羊臊气	yan sau chi	yan sau chi	122
羊癲病	羊癫病	yan ti bin	yan ti bin	122
關	关	kuae1	kuae1	122
關胎	关胎	kuae the	kuae the	122
米蟲	米虫	mi dzon	mi dzon	122
米麪	米面	mi mi	mi mi	122
米胖	米胖	mi phaon	mi phaon	122
米票	米票	mi phiau	mi phiau	122
米醋	米醋	mi tshu	mi tshu	122
米米大	米米大	mhi mhi dou	mhi mhi dou	122
米饅頭	米馒头	mi mun deu	mi moe deu	122
米腳泔水	米脚泔水	mi cian ki syu	mi cian ki syu	123
燈盞	灯盏	ten tsae	ten tsae	123
燈籠褲	灯笼裤	ten lon khu	ten lon khu	123
汗滋滋	汗滋滋	ghei tsy tsy	ghei tsy tsy	123
汗酸臭	汗酸臭	ghei soe chieu	ghei soe chieu	123
汗毛懍懍	汗毛懔懔	ghei mau lin lin	ghei mau lin lin	123
汗出湯𤃀	汗出汤𤃀	ghei tshyuq tho li	ghei tshyuq tho li	123
汗出湯流	汗出汤流	ghei tshyuq tho lieu	ghei tshyuq tho lieu	123
汗爬雨淋	汗爬雨淋	ghei bo yu lin	ghei bo yu lin	123
污	污	ou5	ou5	123
污⿰皮䔡	污⿰皮䔡	u su	u su	123
江白蝦	江白虾	kaon baq huo	kaon baq huo	124
汏	汏	da6	da6	124
湯水	汤水	thaon syu	thaon syu	124
湯飯	汤饭	thaon vae	thaon vae	124
湯果	汤果	thaon kou	thaon kou	124
湯鍋	汤锅	thaon kou	thaon kou	124
湯糰	汤团	thaon doe	thaon doe	124
湯果粉	汤果粉	thaon kou fen	thaon kou fen	124
忖	忖	tshen3	tshen3	125
忖頭	忖头	tshen deu	tshen deu	125
忖心事	忖心事	tshen shin zy	tshen shin zy	125
忖相	忖相	tshen shian	tshen shian	125
𢖺𢖺動	𢖺𢖺动	yiq yiq don	yiq yiq don	125
懺唸	忏念	tshae ne	tshae ne	125
忙	忙	maon2	maon2	125
字	字	zy6	zy6	125
安	安	ei1	ei1	125
安躭	安躭	ei tae	ei tae	126
講大道	讲大道	kaon da dau	kaon da dau	126
講斤頭	讲斤头	kaon cin deu	kaon cin deu	126
講弗睬	讲弗睬	kaon vaq tshe	kaon faq tshe	126
講閒話	讲闲话	kaon ghae wo	kaon ghae wo	126
講聊天	讲聊天	kaon liau thi	kaon liau thi	126
講勒睬	讲勒睬	kaon laq tshe	kaon laq tshe	126
講起埭頭	讲起埭头	kaon chi da deu	kaon chi da deu	126
講起埭頭	讲起埭头	kaon chi da dei	kaon chi da dei	126
訰訰	𰵍𰵍	ten ten	ten ten	126
許	许	hei1	hei1	126
尋死	寻死	zhin shi	zhin shi	126
尋着	寻着	zhin dzoq	zhin dzoq	127
尋開心	寻开心	zhin khe shin	zhin khe shin	127
尋吼勢	寻吼势	zhin heu syu	zhin heu syu	127
尋肯頭	寻肯头	zhin khen deu	zhin khen deu	127
尋幽貓	寻幽猫	zhin ieu mae	zhin ieu mae	127
尋皵頭	寻皵头	zhin chiq deu	zhin chiq deu	127
尋軋迾門	寻轧迾门	zhin gaq laq men	zhin gaq laq men	127
艮	艮	gen6	gen6	127
艮古古	艮古古	gen ku ku	gen ku ku	127
異樣	异样	yi yan	yi yan	128
異樣括得	异样括得	yi yan kuaq taq	yi yan kuaq taq	128
孫囡	孙囡	sen noe	sen noe	128
陽溝	阳沟	ian keu	ian keu	128
陽溝頭	阳沟头	ian keu deu	ian keu deu	128
陽帽篷	阳帽篷	yan mau bon	yan mau bon	128
陽帽戴篷	阳帽戴篷	yan mau te bon	yan mau te bon	128
收拾	收拾	shieu tsoq	shieu tsoq	128
收曬㫰	收晒㫰	shieu sa laon	shieu sa laon	128
收罪過	收罪过	shieu zei kou	shieu zei kou	128
收罪過	收罪过	shieu zei khou	shieu zei khou	128
階沿	阶沿	ka yi	ka yi	128
陰溼	阴湿	in saq	in saq	128
陰騭	阴骘	in ciq	in ciq	129
陰靉	阴叆	in a	in a	129
陰溝洞	阴沟洞	in keu don	in keu don	129
陰𡍲頭	阴𡍲头	in thaq deu	in thaq deu	129
陰𡍲頭	阴𡍲头	in thaq dei	in thaq dei	129
陰陽怪氣	阴阳怪气	in yan kua chi	in yan kua chi	129
防	防	baon2	baon2	129
防來	防来	baon le	baon le	129
迆風斜雨	迆风斜雨	yi fon zhia yu	yi fon zhia yu	129
奸	奸	kae1	kae1	129
如話	如话	zyu wo	zyu wo	129
如話	如话	zy wo	zy wo	129
如心象意	如心象意	zyu shin zhian i	zyu shin zhian i	130
如弗得知	如弗得知	zyu vaq toq tsyu	zyu faq toq tsyu	130
嬤嬤	嬤嬤	mho mho	mho mho	130
好	好	hau3	hau3	130
好日	好日	hau gniq	hau gniq	130
好壞	好坏	hau ua	hau ua	130
好省	好省	hau san	hau san	130
好甮	好甮	hau ven	hau ven	130
好日酒	好日酒	hau gniq cieu	hau gniq cieu	130
好看話	好看话	hau khi wo	hau khi wo	131
好商量	好商量	hau shian lian	hau shian lian	131
好日黃狗	好日黄狗	hau gniq waon keu	hau gniq waon keu	131
好日黃狗	好日黄狗	hau gniq waon ki	hau gniq waon ki	131
好喫果子	好吃果子	hau chioq kou tsy	hau chioq kou tsy	131
好嘸清頭	好呒清头	hau mh chin deu	hau mh chin deu	131
好看白話	好看白话	hau khi baq wo	hau khi baq wo	131
好模好樣	好模好样	hau moq hau yan	hau moq hau yan	131
戲文	戏文	shi ven	shi ven	131
戲子人	戏子人	shi tsy gnin	shi tsy gnin	131
買面孔	买面孔	ma mi khon	ma mi khon	131
買面子	买面子	ma mi tsy	ma mi tsy	131
紅房	红房	ghon vaon	ghon vaon	131
紅毛人	红毛人	ghon mau gnin	ghon mau gnin	132
紅毛瓶	红毛瓶	ghon mau bin	ghon mau bin	132
紅毛瓶	红毛瓶	ghou mau bin	ghou mau bin	132
紅丟丟	红丢丢	ghon tieu tieu	ghon tieu tieu	132
紅芷根	红芷根	ghon tsy ken	ghon tsy ken	132
紅花碗	红花碗	ghon huo un	ghon huo u	132
紅鉗蟹	红钳蟹	ghon ji ha	ghon ji ha	132
紅腳梗	红脚梗	ghon ciaq kuan	ghon ciq kuan	132
紅烯烯	红烯烯	ghon shi shi	ghon shi shi	132
紅𧹝𧹝	紅𧹝𧹝	ghon ton ton	ghon ton ton	132
紅煦煦	红煦煦	ghon shiu shiu	ghon shiu shiu	132
紅煦煦	红煦煦	ghon shiuq shiuq	ghon shiuq shiuq	132
紅赬赬	红赪赪	ghon zen zen	ghon zen zen	133
紅稻草	红稻草	ghon dau tshau	ghon dau tshau	133
紅毛雄雞	红毛雄鸡	ghon mau yon ci	ghon mau yon ci	133
紅毛番薯	红毛番薯	ghon mau fae zyu	ghon mau fae zyu	133
紅出𩈣𩈣	红出𩈣𩈣	ghon tshyuq he he	ghon tshyuq hei hei	133
紅頭蒼蠅	红头苍蝇	ghon deu tshaon in	ghon deu tshaon in	133
紅粉細白	红粉细白	ghon fen shi baq	ghon fen shi baq	133
紅猛日頭	红猛日头	ghon man gniq deu	ghon man gniq deu	133
縴槓	纤杠	chi kaon	chi kaon	133
縴繩	纤绳	chi zhin	chi zhin	133
壽	寿	zhieu6	zhieu6	133
壽頭	寿头	zhieu deu	zhieu deu	134
壽勢	寿势	zhieu syu	zhieu syu	134
壽得得	寿得得	zhieu taq taq	zhieu taq taq	134
壽括括	寿括括	zhieu kuaq kuaq	zhieu kuaq kuaq	134
壽頭壽腦	寿头寿脑	zhieu deu zhieu nau	zhieu deu zhieu nau	134
壽頭括氣	寿头括气	zhieu deu kuaq chi	zhieu deu kuaq chi	134
壽頭括得	寿头括得	zhieu deu kuaq taq	zhieu deu kuaq taq	134
壽頭括腦	寿头括脑	zhieu deu kuaq nau	zhieu deu kuaq nau	134
壽頭模子	寿头模子	zhieu deu mo tsy	zhieu deu mo tsy	134
弄	弄	lhon1	lhon1	134
弄	弄	lon6	lon6	134
弄鬆	弄松	lon son	lon son	135
弄慫	弄怂	lon son	lon son	135
弄送	弄送	lon son	lon son	135
弄聳	弄耸	lon son	lon son	135
弄掉	弄掉	lon diau	lon diau	135
弄弗好	弄弗好	lon vaq hau	lon faq hau	135
麥摐	麦𪭢	maq tshaon	maq tshaon	135
麥搗孔	麦捣孔	maq tau khon	maq tau khon	135
麥穗孔	麦穗孔	maq syu khon	maq syu khon	135
進帳	进帐	cin cian	cin cian	135
進舍	进舍	cin so	cin so	136
進屋酒	进屋酒	cin oq cieu	cin oq cieu	136
遠天拔地	远天拔地	yu thi baq di	yu thi baq di	136
遠天拔地	远天拔地	yu thi paq di	yu thi paq di	136
韌皮皮	韧皮皮	gnin pi pi	gnin pi pi	136
韌皮皮	韧皮皮	gnin bi bi	gnin bi bi	136
韌硈硈	韧硈硈	gnin ciq ciq	gnin ciq ciq	136
韌皮刁起	韧皮刁起	gnin pi tiau chi	gnin pi tiau chi	136
韌皮刁起	韧皮刁起	gnin bi tiau chi	gnin bi tiau chi	136
剗	刬	tshae5	tshae5	136
剗只	刬只	tshae ciq	tshae ciq	136
剗穿	刬穿	tshae tshoe	tshae tshoe	136
運道	运道	yun dau	yun dau	136
壇	坛	dae2	dae2	137
壞	坏	ua1	ua1	137
壞過	坏过	ua kou	ua kou	137
壞喫	坏吃	ua chioq	ua chioq	137
壞喫芋艿頭	坏吃芋艿头	ua chioq n na deu	ua chioq n na deu	137
扽	扽	den6	den6	137
找	找	tsau3	tsau3	137
找湊	找凑	tsau tsheu	tsau tsheu	137
扯統	扯统	tsho thon	tsho thon	137
扯鈴	扯铃	tsho lin	tsho lin	138
扯篷	扯篷	tsho bon	tsho bon	138
走	走	tseu3	tseu3	138
走陽	走阳	tseu yan	tseu yan	138
走準	走准	tseu tsyun	tseu tsyun	138
走油肉	走油肉	tseu yeu gnioq	tseu yeu gnioq	138
走空埭	走空埭	tseu khon da	tseu khon da	138
走腳鈿	走脚钿	tseu ciaq di	tseu ciq di	138
赤豆	赤豆	tshaq deu	tshaq deu	138
赤泡茶	赤泡茶	chiq phau dzo	chiq phau dzo	139
折	折	ciq7	ciq7	139
折	折	tsoq7	tsoq7	139
扳	扳	pae5	pae5	139
扳頭	扳头	pae deu	pae deu	139
扳駁	扳驳	pae poq	pae poq	139
扳規	扳规	pae kuei	pae kuei	139
扳鋤	扳锄	pae zyu	pae zyu	139
扳價鈿	扳价钿	pae ko di	pae ko di	139
扳後腳	扳后脚	pae gheu ciaq	pae gheu ciq	139
扳腳後跟	扳脚后跟	pae ciaq gheu ken	pae ciq gheu ken	139
摐	𪭢	tshaon5	tshaon5	140
摐矮凳	𪭢矮凳	tshaon a ten	tshaon a ten	140
拔秧凳	拔秧凳	baq ian ten	baq ian ten	140
摐羹桶	𪭢羹桶	tshaon kan don	tshaon kan don	140
摐羹桶	𪭢羹桶	saon kan don	saon kan don	140
掄	抡	nhen1	nhen1	140
搶毛	抢毛	chian mau	chian mau	140
搶火	抢火	chian hou	chian hou	140
搶犯	抢犯	chian vae	chian vae	140
孝杖棒	孝杖棒	hau jian baon	hau jian baon	140
孝杖棒頭	孝杖棒头	hau jian baon deu	hau jian baon deu	140
抑	抑	iq7	iq7	140
投	投	deu2	deu2	140
投孫	投孙	deu sen	deu sen	141
投鬼	投鬼	deu ciu	deu ciu	141
投孫鬼	投孙鬼	deu sen ciu	deu sen ciu	141
投孫活鬼	投孙活鬼	deu sen waq ciu	deu sen waq ciu	141
投人身	投人身	deu gnin shin	deu gnin shin	141
投投動	投投动	deu deu don	deu deu don	141
投七投八	投七投八	deu chiq deu paq	deu chiq deu paq	141
坑頭	坑头	khan deu	khan deu	141
坑頭間	坑头间	khan deu kae	khan deu kae	141
坑跟間	坑跟间	khan ken kae	khan ken kae	141
坑頭⿰米鬼	坑头⿰米鬼	khan deu khuei	khan deu khuei	141
殼子	壳子	khoq tsy	khoq tsy	141
殼㝗	壳㝗	khoq laon	khoq laon	141
殼落	壳落	khoq loq	khoq loq	141
抌	抌	cin1	cin1	142
扭	扭	knieu1	knieu1	142
扭扭作作	扭扭作作	knieu knieu tsoq tsoq	knieu knieu tsoq tsoq	142
塊頭	块头	khuei deu	khuei deu	142
塊碼	块码	khuei mo	khuei mo	142
把作	把作	po tsoq	po tsoq	142
把戲	把戏	po shi	po shi	142
把脈	把脉	po maq	po maq	142
莧菜管	苋菜管	hae tshe kun	hae tshe ku	142
花	花	huo1	huo1	142
花頭	花头	huo deu	huo deu	143
花杆	花杆	huo ki	huo ki	143
花佬	花佬	huo lau	huo lau	143
花泡	花泡	huo phau	huo phau	143
花轎	花轿	huo jiau	huo jiau	143
花菜	花菜	huo tshe	huo tshe	143
花蛤	花蛤	huo kaq	huo kaq	143
花絮	花絮	huo shi	huo shi	143
花癲	花癫	huo ti	huo ti	143
花癲大糊	花癫大糊	huo ti dou wu	huo ti dou wu	143
花癲病	花癫病	huo ti bin	huo ti bin	143
花薺菜	花荠菜	huo ji tshe	huo ji tshe	143
花綠紙	花绿纸	huo loq tsy	huo loq tsy	144
花綠紙	花绿纸	huo laq tsy	huo laq tsy	144
花裏花繃	花里花绷	huo li huo pan	huo li huo pan	144
花裏花繃	花里花绷	huo liq huo pan	huo liq huo pan	144
花佬兒子	花佬儿子	huo lau ng tsy	huo lau ng tsy	144
蘆稷	芦稷	lu ci	lu ci	144
蘆穄	芦穄	lu ci	lu ci	144
蘆花雞	芦花鸡	lu huo ci	lu huo ci	144
勞乏	劳乏	lau faq	lau faq	144
剋落	克落	khaq loq	khaq loq	144
芭蕉扇	芭蕉扇	po ciau shi	po ciau shi	144
蘇頭	苏头	su deu	su deu	144
杜路克	杜路克	du lu khaq	du lu khaq	144
打杜路克	打杜路克	tan du lu khaq	tan du lu khaq	144
杜路克牌	杜路克牌	du lu khaq ba	du lu khaq ba	144
槓箱	杠箱	kaon shian	kaon shian	145
杉夜桶	杉夜桶	sae ya don	sae ya don	145
極	极	jiq8	jiq8	145
極克	极克	jiq khaq	jiq khaq	145
楊梅時	杨梅时	yan mei zy	yan mei zy	145
楊梅汛裏	杨梅汛里	yan mei shin li	yan mei shin li	145
楊梅瘡	杨梅疮	yan mei tshaon	yan mei tshaon	145
求靠	求靠	jieu khau	jieu khau	145
豆板	豆板	deu pae	deu pae	145
豆莢乾	豆荚干	deu ciaq ki	deu ciq ki	145
豆莢薧	豆荚薧	deu ciaq khau	deu ciq khau	145
豆豉醬	豆豉酱	deu zy cian	deu zy cian	145
豆豉醬	豆豉酱	deu zyu cian	deu zyu cian	145
豆板醬	豆板酱	deu pae cian	deu pae cian	145
豆酥糖	豆酥糖	deu su daon	deu su daon	146
兩老	两老	lian lau	lian lau	146
兩爹	两爹	lian tia	lian tia	146
兩孃	两娘	lian gnian	lian gnian	146
兩公婆	两公婆	lian kon bou	lian kon bou	146
兩用衫	两用衫	lian yon sae	lian yon sae	146
兩老頭	两老头	lian lau deu	lian lau deu	146
兩老頭	两老头	lian lau dei	lian lau dei	146
兩家婆	两家婆	lian ko bou	lian ko bou	146
兩公老婆	两公老婆	lian kon lau bou	lian kon lau bou	146
兩結結	两结结	lian ciq ciq	lian ciq ciq	146
兩隔生	两隔生	lian kaq san	lian kaq san	146
兩頭兩腦	两头两脑	lian deu lian nau	lian deu lian nau	147
辰光	辰光	zyun kuaon	zyun kuaon	147
辰光	辰光	jin kuaon	jin kuaon	147
𠠏	𫥵	li6	li6	147
否則	否则	feu tsaq	feu tsaq	147
否則	否则	fei tsaq	fei tsaq	147
還只	还只	waq ciq	waq ciq	147
還只	还只	wa ciq	wa ciq	147
還轉	还转	wae tsoe	wae tsoe	147
還潮	还潮	wae jiau	wae jiau	147
還包門	还包门	wae pau men	wae pau men	147
還魂酒	还魂酒	wae wen cieu	wae wen cieu	147
還願心	还愿心	wae gniu shin	wae gniu shin	147
還魂塑料	还魂塑料	wae wen soq liau	wae wen soq liau	148
來	来	le2	le2	148
來對	来对	le tei	le tei	148
來對	来对	le tiq	le tiq	148
來當	来当	le taon	le taon	148
來該	来该	le ke	le ke	148
忒	忒	thaq7	thaq7	148
忒	忒	thou5	thou5	148
忒𪏙	忒𪏙	thou uaon	thou uaon	149
忒得斯𪏙	忒得斯𪏙	thou taq sy uaon	thou taq sy uaon	149
連兼	连兼	li ci	li ci	149
連兼	连兼	li ciq	li ciq	149
連作稻	连作稻	li tsoq dau	li tsoq dau	149
連底凍	连底冻	li ti ton	li ti ton	149
連頭搭腦	连头搭脑	li deu taq nau	li deu taq nau	149
坒	坒	bi6	bi6	149
坒頭外	坒头外	bi deu nga	bi deu nga	149
軒	轩	shi1	shi1	149
步鴣	步鸪	bu ku	bu ku	149
步梯	步梯	bu the	bu the	149
步梯	步梯	bu thi	bu thi	149
滷	卤	lu2	lu2	150
滷菜	卤菜	lu tshe	lu tshe	150
滷滯	卤滞	lu dzyu	lu dzyu	150
堅	坚	ci1	ci1	150
時件	时件	zy ji	zy ji	150
時格	时格	zy kaq	zy kaq	150
時晌	时晌	zy zaon	zy zaon	150
時眼	时眼	zy ngae	zy ngae	150
時道	时道	zy dau	zy dau	150
裏	里	li4	li6	150
裏山	里山	li sae	li sae	151
裏廂	里厢	li shian	li shian	151
嘸	呒	mh5	mh5	151
嘸本	呒本	mh pen	mh pen	151
嘸告	呒告	mh kau	mh kau	151
嘸沒	呒没	mh maq	mh maq	151
嘸沒	呒没	mhiq7	mhiq7	151
嘸郎	呒郎	mh laon	mh laon	151
嘸郎	呒郎	mh naon	mh naon	151
嘸做	呒做	mh tsou	mh tsou	152
嘸數	呒数	mh su	mh su	152
嘸長進	呒长进	mh cian cin	mh cian cin	152
嘸介事	呒介事	mh ka zy	mh ka zy	152
嘸心想	呒心想	mh shin shian	mh shin shian	152
嘸出產	呒出产	mh tshyuq sae	mh tshyuq sae	152
嘸百廿	呒百廿	mh paq ne	mh paq ne	152
嘸設法	呒设法	mh shiq faq	mh shiq faq	152
嘸設法	呒设法	mh soq faq	mh soq faq	152
嘸弄頭	呒弄头	mh lon deu	mh lon deu	152
嘸話說	呒话说	mh wo syuq	mh wo soq	152
嘸相干	呒相干	mh shian ki	mh shian ki	153
嘸相貌	呒相貌	mh shian mau	mh shian mau	153
嘸結果	呒结果	mh ciq kou	mh ciq kou	153
嘸樣範	呒样范	mh yan vae	mh yan vae	153
嘸根腳	呒根脚	mh ken ciaq	mh ken ciq	153
嘸根爛腳	呒根烂脚	mh ken lae ciaq	mh ken lae ciq	153
嘸陶成	呒陶成	mh dau jin	mh dau jin	153
嘸陶白成	呒陶白成	mh dau baq jin	mh dau baq jin	153
嘸陶嘸成	呒陶呒成	mh dau mh jin	mh dau mh jin	153
嘸腳力	呒脚力	mh ciaq liq	mh ciq liq	153
嘸腳色	呒脚色	mh ciaq saq	mh ciq saq	153
嘸腳蟹	呒脚蟹	mh ciaq ha	mh ciq ha	153
嘸清頭	呒清头	mh chin deu	mh chin deu	154
嘸商量	呒商量	mh shian lian	mh shian lian	154
嘸趣相	呒趣相	mh tshyu shian	mh tshyu shian	154
嘸雕當	呒雕当	mh tiau toq	mh tiau toq	154
嘸氣嘸魄	呒气呒魄	mh chi mh phaq	mh chi mh phaq	154
嘸氣懶魄	呒气懒魄	mh chi lae phaq	mh chi lae phaq	154
嘸心嘸事	呒心呒事	mh shin mh zy	mh shin mh zy	154
嘸心倒事	呒心倒事	mh shin tau zy	mh shin tau zy	154
嘸告多少	呒告多少	mh kau tou shiau	mh kau tou shiau	154
嘸進嘸出	呒进呒出	mh cin mh tshyuq	mh cin mh tshyuq	154
嘸告話頭	呒告话头	mh kau wo deu	mh kau wo deu	155
嘸要得緊	呒要得紧	mh iau taq cin	mh iau taq cin	155
嘸帳得算	呒帐得算	mh cian taq soe	mh cian taq soe	155
嘸腳活猻	呒脚活狲	mh ciaq waq sen	mh ciq waq sen	155
嘸清白頭	呒清白头	mh chin baq deu	mh chin baq deu	155
嘸數沒帳	呒数没帐	mh su maq cian	mh su maq cian	155
嘸數沒帳	呒数没帐	mh su moq cian	mh su moq cian	155
嘸數倒帳	呒数倒帐	mh su tau cian	mh su tau cian	156
喡喡	喡喡	wae wae	wae wae	155
喡喡	喡喡	wei wei	wei wei	155
喡天倒地	喡天倒地	wae thi tau di	wae thi tau di	155
呆	呆	nge2	nge2	155
呆大	呆大	nge dou	nge dou	156
